"Responder ID","flag_straightline","flag_longstring","flag_speeding","flag_inconsistent","flag_duplicate","n_flags","qc_remove","longstring_max","irv"
"2_ABaOnufgl81iTDK40lZ7A5RMNm1_cIEtYnVeqDlkQlN5GmTIuJtp7_bpw13KdVv_Hg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,16,0.40861858377397
"2_ABaOnucRhKbc0vCMpk1yC5w1WeMhmQurIsXTpc8VNKZY8j_BlwAs4DhonNbP4AcShA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,13,0.63665033885367
"2_ABaOnudtH3MUy0n9fC5waN_oE_Gc3fmrFJjW1tT-YDA1qwu7b5TB7IwYJ06H7U5fTQ",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,9,0.777014000003119
"2_ABaOnufIkEPykhVLDqIlgF0tFhHu12sA2Rwi-po4uhYldD-aiqGE5dmkYkZuQI1Ohg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,10,0.649817322740829
"2_ABaOnuf4tSTSshwdtWNaIwcvRUMAQ9CHQNKYoVJFYZacwbT8DOhSkK-F3EbE25Jrpg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,14,0.437227142464512
"2_ABaOnudEO1tpjUItWTUW1egQibOcBG9L4IeuYYC3HLSmZg6eg-XGv9jkeAt5xgYzZw",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,11,0.977050637983162
"2_ABaOnueF3k4EzhIcVJyp7-J8RrTYyDJp2aG5sl7ACRGTvwgb3lA5YIeVXaqVY1cv3w",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,20,0.347839238026982
"2_ABaOnucWC0ts1durzmH22INJ-ANeAHphI6sK8RbnLl1sBr2Te0mjnPTvwlehOhnGxQ",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,6,0.71137163759568
"2_ABaOnuedGQCj3TFex_fd5KmBzFR0y8jFYq_fCe93HfAbJ6FappwCn1qY6K3HDDCSEQ",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,9,0.72401548816461
"2_ABaOnucSm3MP-sTG_02saomuy81VrMW2Z_7WCEpRL2KGpcG0RRCuVb7cCgP7m1pIQg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,8,0.527810943439523
"2_ABaOnuf29bXxvnwZOmYl0OVjYxHjUMzUi5TfsXfiyTWLPY1SblDLPHMZt0pXn576mQ",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,29,0.223403795622112
"2_ABaOnue8XtsPEN1FLiloaodipYsL-UGEFhY2oO9NheDS3zgplMyWID1p4tuqz1PqdA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,6,0.499546073442513
"2_ABaOnuegTjXg4vcZz4Zupraq1BSOrgF2glXAUZzLVUtnO95V5vPro37BrbsgcGNnNA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,3,0.537746412235124
"2_ABaOnufYVRtqXs6wjYD7jeUNIfodvNKX25A53923oqgDYGaC_eje4W2dFMn6ChjX7w",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,12,0.713070437955314
"2_ABaOnue1Ps20AruLvk3m9FeDvLiIYQbdTNybAhn5VlUA_xgeFH6qRVlqvUNVv4DPTg",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,33,0.295663352322935
"2_ABaOnucszigOkvYfk7HZgARYtITyEHncKCrUMWjPdZGvmFgKRQR3VFFvL-HgFIUbtA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,13,0.469582971336426
"2_ABaOnue0__VOLh37DSVTsZ_t9rzfzCtd731ZsyMeHjRK721cz6AJ86KmOy-JFgpAUA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,43,0.614406594036
"2_ABaOnudV0R_UzYhv-N_GIvN3JNzbPOTQ1XPhVMCe2z4Kd55zpvWhCa1Aqn16YVfVKQ",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,6,0.857690027870236
"2_ABaOnucYdPZ3xsBb4G8yeB68xbKCD0p7mJibL7R11Ymy-cs90apTZN28sm0DVQ94rA",TRUE,TRUE,FALSE,TRUE,FALSE,3,TRUE,58,0
"2_ABaOnucggZvIBVqC6kpZXIUJevUActLZ2-wSa1V_C4G-meWJPVWVjpwM-uVSyVdEUA",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,18,0.473432076473999
"2_ABaOnucFSdnblF-kZiyQboJBz9LG34LkWzdyQOCCNPCptUD_d6hptYor0D5Dsilgyg",TRUE,TRUE,FALSE,TRUE,TRUE,4,TRUE,58,0
"2_ABaOnufAnlJ1AmtHAiegxvBm6OyMu5u02mXQIclfWHAMthNvglWJUMYfrpWerPyxtg",TRUE,TRUE,FALSE,TRUE,TRUE,4,TRUE,58,0
"2_ABaOnueiSg_uN2CAHPLVH3ndePrnEn1yTIZuQVIk_9ZuBlIJsAYo9UFNPNFYXFkC8g",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,15,0.431657142518499
"2_ABaOnueYpTwVnPWxgJV4clEulXsixuoPKvj1cpnEg9giAsTI2mONwAP8Bvxz_H5QrA",TRUE,TRUE,FALSE,TRUE,TRUE,4,TRUE,58,0
"2_ABaOnueQC6bJhyNcD9CkzNmEqeM6wtmrWvF1Us0qALWlx94nS4iU1XzSOP1nmrGH_Q",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,5,0.89766787984451
"2_ABaOnuforek-qAt9KEM-7ZL6e5EYv6LNVqINAUif0CeGdP2sTHB7Lfxrt5JC2_I6kw",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,19,0.585156170177392
"2_ABaOnucCAAnJ7ot2nyxboW5B2C66rmW61Q54k3dS9B9F9sLKzS1Af9G52cbDz1aVOQ",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,8,0.573934742744521
"2_ABaOnudRsFL46SOy8d6cEW922fR64LNLAn3buHCuiLZzCaLaMYBXhoEYYesxwZYtuA",TRUE,TRUE,FALSE,TRUE,TRUE,4,TRUE,58,0
"2_ABaOnufhhi1UFZ1ZCphat963AzXBT1msdESN3lIgnHYES-BllcAS6S-CyLQMYXvWsQ",FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,9,0.903210647459501
